공고번호,회사명,공고제목,지역,경력,기술스택/분야
53917267,슬로크(주),[글로벌 스타트업] BX 디자이너 채용,서울 송파구,경력 1~3년,로고디자인 / 배너디자인 / 웹디자인
53893023,더키(The KIE),디바이스 제품 개발(펌웨어 개발 분야) 경력직 채용,서울 송파구,경력 8~15년,전기설비 / SI·시스템통합
53917974,바이트댄스유한책임회사,Music Licensing and Partnerships Manager,서울 강남구,경력 5~7년,IP(지식재산권) / 컨텐츠제공 / 커뮤니티
53920214,(주)케이윈,머신비전 SW/HW 프로그램 개발 사원 모집,전북 익산시,경력무관,딥러닝 / C++ / 솔루션
53897915,아이비테크(주),안드로이드 개발자 채용 공고,경기 남양주시,경력3년↑,소프트웨어개발
53913540,(주)테라비트,보안 및 네트워크 영업(경력)사원 모집,부산 해운대구,경력3년↑,네트워크영업 / 보안솔루션영업 / 방화벽
53898888,(주)애드투,온라인 마케터 채용(인턴),서울 서초구,경력무관,온라인마케팅 / 인플루언서마케팅 / SNS마케팅
53930383,(주)하람아이,"2026년 (주)하람아이 JAVA개발자 정규직 채용(경력, PL급)",경기 성남시 수정구,경력3년↑,소프트웨어개발
53897356,(주)크랜베리,[경력] 국내영업 및 공공기관 기술영업 채용,서울 금천구,경력3년↑,기술영업 / SI영업 / 시스템영업
53897385,제우스전자(주),아트웍 경력  채용,경북 경산시,경력1년↑,아트워크 / 전자
53900564,(주)나비프라,[나비프라] 표준화 개발자 모집,경기 수원시 영통구,경력무관,Linux / 소프트웨어개발
53931289,(주)팬브릿지,케이팝 마케팅 경력직 채용,서울 강남구,경력2년↑,콘텐츠마케팅 / 시장조사 / 채널관리
53921067,(주)아톰소프트,기계공학 S/W 개발 인재 채용 공고,서울 금천구,경력무관,데이터엔지니어 / 웹개발 / Django
53940260,비움(주),[대표작성] 퍼포먼스 마케터 팀원을 진심으로 채용하고 있습니다,경기 부천시 원미구,경력3년↑,온라인마케팅 / 인플루언서마케팅 / SNS마케팅
53930962,(주)디에스네트웍스,"LGU+ 인터넷상품 바이럴,블로그,SNS마케팅및 엘지전산 직원채용",대구 남구,경력무관,사무보조 / 문서작성 / 전화응대
53921055,(주)티윈,[상현역] PL급 UI/UX 기획자 모집,경기 용인시 수지구,경력 5~10년,앱기획 / 웹기획 / SI·시스템통합 / 소프트웨어개발
53945623,(주)상공,[정규직] 경력 PHP 개발자 모집합니다,경기 고양시 덕양구,경력3년↑,웹개발 / MySQL / PostgreSQL
53922959,(주)리진,(주)리진 영업지원 팀장 및 팀원 경력직 채용(내근 중심),경기 이천시,경력 1~10년,솔루션기술영업 / 영업관리 / 시스템영업
53955969,(주)초이스테크코리아,[경력] 안드로이드 개발자 모집 - 경력,경기 용인시 기흥구,경력 7~10년,Java / AWS / Android
53946499,(주)민트로켓,[민트로켓] 유니티 소프트웨어 엔지니어 (Senior),경기 성남시 분당구,경력10년↑,C# / 게임개발 / 프로그래머
53921806,이지큐어(주),정보 보안솔루션 기술지원 경력 채용,서울 금천구,경력3년↑,네트워크 / 방화벽 / 기술지원
53952903,(주)에이스디바이스,"영업관리 - Inside Sales (자재구매,  선적관리)",경기 화성시,경력 1~5년,유통영업 / 유통업
53955821,(주)알고링크,[코디세이][경남 창원] AI 네이티브과정 퍼실리테이터(학습코치),경남 창원시 마산회원구,경력무관,AI(인공지능) / 빅데이터 / 알고리즘개발
53956091,(주)아이제라,AI 에이전트 엔지니어 (5년차~),경기 오산시,경력 5~10년,SI·시스템통합
53956927,(주)인하우스소프트,공공 입찰 ISP 수행 및 제안 발표 PM 채용 공고,경기 광명시,경력무관,ISP / RFP(제안요청서) / 제안발표
53959321,(주)케이바이오메디,[케이바이오메디] 뷰티 MD 채용,서울 강서구,경력2년↑,퍼포먼스마케팅 / 소프트웨어개발
53930621,(주)리진,(주)리진 영업팀 사무지원,경기 이천시,경력무관,솔루션기술영업 / 영업관리 / 시스템영업
53930969,(주)시큐리온,Back-end(백엔드) 개발자 채용,서울 송파구,경력5년↑,MySQL / PostgreSQL / Django
53963298,(주)메이킷올,[에듀테크 분야] 프로덕트 디자이너 채용,서울 강서구,경력 3~5년,UI/UX디자인 / 디지털디자인 / 앱기획
53957250,(주)온택트헬스,MLOps 엔지니어 채용,서울 서대문구,경력3년↑,알고리즘 / 딥러닝 / AI(인공지능)
53968120,(주)지니수,[CS/CX] 창업 플랫폼 코워크시티 CSX 매니저,서울 강남구,경력 2~5년,상담원 / 아웃바운드 / CS / CX매니저
53948559,(주)위밋모빌리티,[위밋모빌리티] AI 풀스택 개발자,서울 관악구,경력7년↑,웹개발 / 프론트엔드 / SI·시스템통합
53942948,(주)이니노스,[이니노스] 서비스 기획자 경력(3년 이상 7년 이하) 모집,서울 영등포구,경력 3~7년,스토리보드 / 프로토타이핑 / UI/UX / SI·시스템통합
53944141,에버엑스 주식회사,B2B 타겟 세일즈 담당자 / 기업 근골격계 예방관리 솔루션,서울 서초구,경력 5~13년,영업전략 / 시스템영업 / 영업기획
