공고번호,회사명,공고제목,지역,경력,기술스택/분야
53948054,바능,파이썬 개발자 구인(10~12년),미지정,10 ~ 12년,B<span>it</span>bucket / Django / G<span>it</span> / G<span>it</span>Lab / Kubernetes / PostgreSQL / Python / React / TypeScript / Airflow
54112127,에너자이,AI 컴파일러 엔지니어,미지정,1 ~ 15년,C / C++ / Haskell / Python / PyTorch / Scala / TensorFlow / MachineLearning / AI/인공지능 / F#
54132383,덴티움,Medical CBCT HW개발,미지정,8 ~ 15년,Orcad / Pads
54132393,덴티움,Medical CBCT  3D뷰어 SW 개발,미지정,3 ~ 10년,C / C# / C++ / WPF / SW / OpenGL
53886386,파이오링크,애플리케이션/cloud개발(전문연구요원),미지정,1 ~ 7년,AngularJS / C / C++ / Java / JavaScript / jQuery / Linux / Python / REST API / SQL
53935956,링네트,Cisco 네트워크 필드 엔지니어(경력7~9),미지정,7 ~ 9년,Router / Sw<span>it</span>ch / Cisco / L2 / L3 / L4 / L7 / Network
54080410,씨앤유글로벌,HW개발자(5년이상) 채용,미지정,5 ~ 10년,Orcad / HW / Network / Pads / Embedded Linux
54111922,웅진,SAP ERP컨설팅(SI/SM),미지정,5 ~ 20년,ERP / SAP
54111909,웅진,SAP ERP기술컨설팅(SI/SM),미지정,3 ~ 20년,ABAP / ERP / SAP / Fiori
54135225,웅진,클라우드 솔루션 아키텍트 (AWS) 모집,미지정,5 ~ 20년,AWS
54088945,브레인즈컴퍼니,통합로그관리 SW 기술지원 엔지니어,미지정,5 ~ 10년,Docker / Elasticsearch / ExpressJS / JavaScript / Kafka / Kubernetes / Linux / Node.js / Python / Redis
